date,title,description,channel,num_tags,duration,viewcount,likecount,dislikecount,commentcount,topics,title_length,description_length,total_likes,adjusted_likes,seconds
2018-12-29 10:01:18,A Journey Like No Other: Episode 6 - Eyes on our Waters (ME2 Tan Suan Ling),"""Everytime we sail, we are protecting Singapore, protecting our family... protecting your everyday."" 

ME2 Tan Suan Ling is a Navigation Supervisor on board RSS Daring, a Fearless-class Patrol Vessel which is responsible for guarding Singapore's territorial waters. Her role includes manning the radar to report any risk of collision in the Strait of Singapore's congested waters.  

Working hand in hand with the Singapore Police Coast Guard, the Republic of Singapore Navy vigilantly protects our shipping lanes 24/7, performing security surveillance and anti-sea robbery operations. 

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,12,0 days 00:03:39.000000000,2558,43.0,3.0,0.0,Military;Society,16,94.0,46.0,40.19565217391305,219.0
2019-01-04 11:32:48,The SAF Band Takes Japan! (54th JSDF Marching Festival),"The SAF Band takes to the international stage once again, at the 54th Japan Self-Defence Forces Marching Festival held from 21 to 23 Nov 2018 at the Nippon Budokan. 

Besides the SAF Central Band and the Japanese military bands, the US Army Japan Marching Band, the US' III Marine Expeditionary Force Band and the French Navy Band also took part in the musical showcase. The SAF Band last performed at this festival in 2010.

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,10,0 days 00:01:49.000000000,1268,24.0,0.0,3.0,Entertainment,9,82.0,24.0,24.0,109.0
2018-12-22 10:00:03,"Total Defence Awards 2018: With You, We Can","National Service (NS) is not just about us, but you.

To our family, friends, and colleagues, thank you for always being there and having our backs. We might not have said or expressed it, but you have been an important and invaluable part of our NS journey and Singapore's Total Defence.

With you, we can.
With love, from all the National Servicemen.

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,16,0 days 00:04:44.000000000,2836,41.0,5.0,2.0,Military;Society,8,67.0,46.0,36.54347826086956,284.0
2018-12-17 10:38:31,111/18 Officer Cadet Course Commissioning Parade: 2LT Audrey Tey,"What is it like to be a Midshipman Commanding Officer?
⠀
Find out more about 2LT Audrey Tey and her journey with the Republic of Singapore Navy, and how she attained the Sword of Honour award at the 111/18 Officer Cadet Commissioning Parade on 15 December 2018.

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,18,0 days 00:02:09.000000000,4383,38.0,10.0,3.0,Military;Society,9,53.0,48.0,30.083333333333332,129.0
2018-11-28 03:58:23,"Behind the Scenes of Royston Tan's ""36 Ways to Say Good Morning""","Be it drinking your morning Kopi, hearing birds chirp at your window, or sounding your vehicle horn in camp, it's the little things that define what is Singapore - or what we call home.

Find out the inspiration behind Royston Tan's commissioned film for ciNE65 2019 ""36 Ways to Say Good Morning"", and revisit the sights and sounds we see and hear daily in a different light.

Catch the full film here: https://www.youtube.com/watch?v=OMXunREyN3c

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,18,0 days 00:01:23.000000000,1008,8.0,1.0,2.0,Film;Entertainment,12,79.0,9.0,7.111111111111111,83.0
2018-12-01 02:00:01,Total Defence Awards 2018: Honouring Our National Service Advocates,"Established in 1986 to recognise businesses for their contributions towards Total Defence (TD), the Total Defence Awards (TDA) were revamped in 2015 to include a broader spectrum of stakeholders such as educational institutions, community organisations and individuals, as well as integrate with the Home Team National Service (NS) Awards for Employers.

The revamped TDA, a single highest tier award  - the NS Advocate Award, aims to strengthen advocacy for NS by encouraging everyone to play their part in supporting our National Servicemen. Conferred for a period of three years, the NS Advocate Award is the highest national-level accolade for exemplary support towards TD and NS.

This year, a total of 91 Small and Medium Enterprises (SMEs), 22 large companies, 28 organisations and 11 individuals were awarded the TDA.

To all NS advocates, we salute your support!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,16,0 days 00:05:34.000000000,1365,12.0,0.0,1.0,Society,9,142.0,12.0,12.0,334.0
2018-12-28 11:48:28,PIONEER Mag Backpage (Dec 2018) Genevie Loh,"Three cheers for SV1 Genevie Loh, who serves in the SAF Volunteer Corps (SAFVC) as a Bridge Watchkeeper with the Republic of Singapore Navy (RSN). Her time with the RSN has allowed this Shipping Executive and Cheerleader to better appreciate the hard work that goes into safeguarding our waters. 

The SAFVC is a uniformed volunteer scheme introduced to provide more Singaporeans and Permanent Residents with the opportunity to contribute to national defence, show support for National Service and deepen their understanding and ownership of national defence.

For more information, visit www.mindef.gov.sg/safvc.

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,13,0 days 00:01:44.000000000,1626,13.0,2.0,6.0,Society,7,98.0,15.0,11.266666666666667,104.0
2018-11-27 09:51:35,Combined Task Force 151 Highlights,"Combined Task Force 151 (CTF 151) protects global maritime trade and enhances maritime security by deterring and disrupting piracy in the Gulf of Aden. To recognise their efforts in fighting piracy beyond Singapore's shores, the SAF command team was presented with the Overseas Service Medal on 23 November 2018 by Defence Minister Dr Ng Eng Hen.

Since 2009, the SAF has contributed to multinational counter-piracy operations in the Gulf of Aden. Since then, piracy numbers in the area have dropped significantly from its peak of more than 200 attacks in 2011 to zero successful attacks today.

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,19,0 days 00:02:22.000000000,2615,29.0,4.0,3.0,Military;Society,5,103.0,33.0,25.484848484848484,142.0
2018-11-23 10:33:08,37/18 SCGP - 3SG Richard Lowell O’Brien,"He not only defends our country, but also defends the net with the Singapore Ice Hockey Team! 

Newly minted specialist and ice hockey defenceman 3SG Richard shares how his values on the ice and in training with The Singapore Army aren’t that different after all. 

3SG Richard graduated from the 37/18 Specialist Cadet Course on 22 Nov 2018, along with 925 others at a Specialist Cadet Graduation Parade. 

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",Ministry of Defence Singapore,15,0 days 00:01:35.000000000,7864,78.0,6.0,13.0,Military;Society,7,77.0,84.0,72.42857142857143,95.0
2018-11-16 04:37:23,"Diverse Roles, Equal Opportunities: Hear from ME4 Chea Wei Tien",ME4 Chea Wei Tien has certainly gone places with Our Army. Overseas exercises to have a blast honing ammunition capabilities? Check. Development opportunities to be her best? Double check. Stuck behind a desk? Not a chance!,Ministry of Defence Singapore,8,0 days 00:01:01.000000000,11437,34.0,9.0,10.0,Military;Society,10,36.0,43.0,26.883720930232556,61.0
